;Year;Quarter;Haul;Age;Count
513;2016;1;2016:1:SCO:SCO3:GOV:17:17;1;6
514;2016;1;2016:1:SCO:SCO3:GOV:18:18;1;1
515;2016;1;2016:1:SCO:SCO3:GOV:34:34;1;1
516;2016;1;2016:1:SCO:SCO3:GOV:35:35;1;2
517;2016;1;2016:1:SCO:SCO3:GOV:37:37;1;1
518;2016;1;2016:1:SCO:SCO3:GOV:39:39;1;2
519;2016;1;2016:1:SCO:SCO3:GOV:41:41;1;8
520;2016;1;2016:1:SCO:SCO3:GOV:42:42;1;2
521;2016;1;2016:1:SCO:SCO3:GOV:45:45;1;1
522;2016;1;2016:1:SCO:SCO3:GOV:47:47;1;2
523;2016;1;2016:1:SCO:SCO3:GOV:50:50;1;2
524;2016;1;2016:1:SCO:SCO3:GOV:51:51;1;4
525;2016;1;2016:1:SCO:SCO3:GOV:52:52;1;8
526;2016;1;2016:1:SCO:SCO3:GOV:53:53;1;1
527;2016;1;2016:1:SCO:SCO3:GOV:54:54;1;6
528;2016;1;2016:1:SCO:SCO3:GOV:55:55;1;2
529;2016;1;2016:1:SCO:SCO3:GOV:56:56;1;1
530;2016;1;2016:1:SCO:SCO3:GOV:57:57;1;2
531;2016;1;2016:1:SCO:SCO3:GOV:58:58;1;1
532;2016;1;2016:1:SWE:DANS:GOV:109:31;1;1
533;2016;1;2016:1:SWE:DANS:GOV:18:5;1;2
534;2016;1;2016:1:SWE:DANS:GOV:22:8;1;7
535;2016;1;2016:1:SWE:DANS:GOV:35:10;1;1
536;2016;1;2016:1:SWE:DANS:GOV:39:12;1;6
537;2016;1;2016:1:SWE:DANS:GOV:4:1;1;1
538;2016;1;2016:1:SWE:DANS:GOV:49:13;1;10
539;2016;1;2016:1:SWE:DANS:GOV:51:14;1;6
540;2016;1;2016:1:SWE:DANS:GOV:52:15;1;7
541;2016;1;2016:1:SWE:DANS:GOV:54:16;1;12
542;2016;1;2016:1:SWE:DANS:GOV:55:17;1;3
543;2016;1;2016:1:SWE:DANS:GOV:64:18;1;3
544;2016;1;2016:1:SWE:DANS:GOV:66:19;1;3
545;2016;1;2016:1:SWE:DANS:GOV:67:20;1;2
546;2016;1;2016:1:SWE:DANS:GOV:69:21;1;2
547;2016;1;2016:1:SWE:DANS:GOV:7:3;1;4
548;2016;1;2016:1:SWE:DANS:GOV:80:22;1;7
549;2016;1;2016:1:SWE:DANS:GOV:81:23;1;1
550;2016;1;2016:1:SWE:DANS:GOV:83:24;1;1
551;2016;1;2016:1:SWE:DANS:GOV:85:25;1;1
552;2016;1;2016:1:SWE:DANS:GOV:9:4;1;5
553;2017;1;2017:1:DEN:DAN2:GOV:1:1;1;2
554;2017;1;2017:1:DEN:DAN2:GOV:106:23;1;1
555;2017;1;2017:1:DEN:DAN2:GOV:117:27;1;1
556;2017;1;2017:1:DEN:DAN2:GOV:119:28;1;1
557;2017;1;2017:1:DEN:DAN2:GOV:148:36;1;1
558;2017;1;2017:1:DEN:DAN2:GOV:156:37;1;5
559;2017;1;2017:1:DEN:DAN2:GOV:157:38;1;1
560;2017;1;2017:1:DEN:DAN2:GOV:159:39;1;3
561;2017;1;2017:1:DEN:DAN2:GOV:172:41;1;1
562;2017;1;2017:1:DEN:DAN2:GOV:22:5;1;1
563;2017;1;2017:1:DEN:DAN2:GOV:26:7;1;1
564;2017;1;2017:1:DEN:DAN2:GOV:36:8;1;3
565;2017;1;2017:1:DEN:DAN2:GOV:39:10;1;1
566;2017;1;2017:1:DEN:DAN2:GOV:66:14;1;4
567;2017;1;2017:1:DEN:DAN2:GOV:78:17;1;8
568;2017;1;2017:1:DEN:DAN2:GOV:79:18;1;2
569;2017;1;2017:1:DEN:DAN2:GOV:8:2;1;1
570;2017;1;2017:1:DEN:DAN2:GOV:81:19;1;1
571;2017;1;2017:1:DEN:DAN2:GOV:9:3;1;2
572;2017;1;2017:1:FRA:THA2:GOV:V0045:22;1;3
573;2017;1;2017:1:FRA:THA2:GOV:V0047:24;1;7
574;2017;1;2017:1:FRA:THA2:GOV:V0082:37;1;1
575;2017;1;2017:1:FRA:THA2:GOV:V0083:38;1;1
576;2017;1;2017:1:FRA:THA2:GOV:V0089:39;1;2
577;2017;1;2017:1:FRA:THA2:GOV:V0091:41;1;1
578;2017;1;2017:1:FRA:THA2:GOV:V0096:43;1;1
579;2017;1;2017:1:FRA:THA2:GOV:V0102:46;1;1
580;2017;1;2017:1:FRA:THA2:GOV:V0103:47;1;6
581;2017;1;2017:1:GFR:WAH3:GOV:101:30;1;2
582;2017;1;2017:1:GFR:WAH3:GOV:103:32;1;2
583;2017;1;2017:1:GFR:WAH3:GOV:112:33;1;5
584;2017;1;2017:1:GFR:WAH3:GOV:113:34;1;17
585;2017;1;2017:1:GFR:WAH3:GOV:114:35;1;4
586;2017;1;2017:1:GFR:WAH3:GOV:115:36;1;1
587;2017;1;2017:1:GFR:WAH3:GOV:116:37;1;11
588;2017;1;2017:1:GFR:WAH3:GOV:128:41;1;1
